mii_name,body_height,body_weight,gender,eye_type,eye_color,eye_size,eye_rotation,eye_horizontal,eye_vertical,eyebrow_type,eyebrow_color,nose_type,nose_size,mouth_type,mouth_color,hair_type,hair_color,face_type,face_color,mole_enable,mole_horizontal,mole_vertical,mole_size,glasses_type,favorite_color,dataset
煡敢砲癔穂䅐䅁十剆䵦,69,115,1,24,5,6,9,10,12,23,3,6,11,1,5,122,2,11,3,1,18,17,2,1,12,nnid
噑剌穣娷摘䩂䅁䥁䩫䅑,70,85,1,4,5,0,5,10,19,1,2,5,10,5,1,65,2,0,2,1,10,19,2,15,11,nnid
䌫癮浑慈匲䱦䅷䕁瀱䅆,72,73,1,42,5,0,7,10,25,1,2,1,10,1,5,81,2,0,2,1,26,27,2,1,12,nnid
䥌戯硤㙯圯杢䅧䥁䈲䅏,71,107,1,50,5,0,8,10,21,1,2,1,10,1,5,119,2,0,2,0,2,14,4,1,11,nnid
⭡ㅐ䅥晍䤰癦䅑穁䩗䅄,71,103,0,48,5,0,8,10,6,1,2,1,10,1,5,103,2,0,2,1,10,16,2,1,10,nnid
極㔶卪䱶呃步䅑硁䉫䅲,72,69,1,48,5,0,7,2,26,1,2,6,10,1,5,81,2,0,2,0,10,14,4,1,12,nnid
睚䠴䙫䥷㈫䱡䅁歁婬䅂,71,52,1,57,5,0,7,10,10,1,2,1,10,1,5,65,2,0,2,0,10,14,4,1,12,nnid
㡋瑙積娷祤昫䅧䅁䉅䵘,73,85,1,1,5,0,10,10,6,23,3,18,10,1,5,122,1,11,3,0,10,21,1,1,11,nnid
䑡䕐䑅楓㡭栴䅷ぁ汇䅳,71,107,1,40,5,0,7,10,19,1,2,1,10,1,5,103,2,0,2,1,10,16,0,1,11,nnid
浈刵積娷穑佳䅁ぁ桇䅂,72,85,0,48,4,0,7,10,21,1,2,1,10,1,5,119,2,0,2,0,26,25,3,1,11,nnid
㑚爷⽣䩄睁扐䅧桁䉹䅔,71,69,1,40,5,0,1,10,0,1,2,6,10,1,5,103,2,0,2,1,18,16,2,1,12,nnid
㕳㠲杒敱㌴歬䅑䕁浅䵐,70,56,1,1,5,0,5,10,2,1,2,6,10,1,5,122,1,11,3,1,18,16,2,1,12,nnid
㕲奄䙣愲睐児䅁䅁䉇䅔,71,69,1,49,4,0,7,10,21,1,2,16,11,7,1,81,2,0,2,0,18,18,4,1,12,nnid
䠶䔶穙㙎十噡䅧䅁剂䅅,71,69,1,48,5,0,1,10,0,1,2,6,10,1,5,103,2,0,2,0,18,19,4,1,12,nnid
䝨桔睹睑桗䥍䅷䅁䉅䅈,71,85,0,57,5,0,7,10,17,1,2,1,10,1,5,119,2,0,2,1,18,16,2,1,10,nnid
䙬偆䅥晍敺祪䅑畁䉅䵹,73,48,1,1,5,0,1,10,0,1,2,1,10,1,5,65,1,11,3,1,18,16,2,1,10,nnid
穤㡨睹睑楘乍䅷獁婆䵃,73,111,0,1,5,0,16,10,6,23,3,1,10,1,5,84,1,11,3,0,2,13,2,1,10,nnid
㕳穬䑅䈰㈰㔸䅷摁䉕䅄,71,119,0,52,5,0,7,10,10,1,2,10,11,7,5,81,2,0,2,1,26,29,2,1,10,nnid
㍳位䑅䈰圶确䅧慁丰䅔,71,103,1,57,5,0,8,10,4,1,2,1,10,1,5,81,2,0,2,1,2,28,3,1,12,nnid
㙉祯積娷穑䝑䅁䅁䉇䅔,72,81,0,48,4,0,7,10,19,1,2,20,11,1,5,81,2,0,2,1,2,30,2,1,11,nnid
汲癤䑫䈰䠫㍇䅑硁瑬䅂,71,119,1,52,4,0,1,10,0,1,2,1,10,1,5,81,2,0,2,0,26,27,4,1,10,nnid
ㄯ汌㈲䭥婁㉚䅁穁㕃䅅,71,85,1,55,5,0,7,2,26,1,2,21,11,7,5,103,2,0,2,0,27,26,5,6,12,nnid
